city,country,year,city,country,avg_temp
Riyadh,Saudi Arabia,1929,Riyadh,Saudi Arabia,25.36
Riyadh,Saudi Arabia,1930,Riyadh,Saudi Arabia,25.39
Riyadh,Saudi Arabia,1931,Riyadh,Saudi Arabia,25.38
Riyadh,Saudi Arabia,1932,Riyadh,Saudi Arabia,24.96
Riyadh,Saudi Arabia,1933,Riyadh,Saudi Arabia,24.67
Riyadh,Saudi Arabia,1934,Riyadh,Saudi Arabia,24.97
Riyadh,Saudi Arabia,1935,Riyadh,Saudi Arabia,25.61
Riyadh,Saudi Arabia,1936,Riyadh,Saudi Arabia,25.15
Riyadh,Saudi Arabia,1937,Riyadh,Saudi Arabia,25.08
Riyadh,Saudi Arabia,1938,Riyadh,Saudi Arabia,25.11
Riyadh,Saudi Arabia,1939,Riyadh,Saudi Arabia,25.16
Riyadh,Saudi Arabia,1940,Riyadh,Saudi Arabia,25.51
Riyadh,Saudi Arabia,1941,Riyadh,Saudi Arabia,25.37
Riyadh,Saudi Arabia,1942,Riyadh,Saudi Arabia,25.49
Riyadh,Saudi Arabia,1943,Riyadh,Saudi Arabia,24.96
Riyadh,Saudi Arabia,1944,Riyadh,Saudi Arabia,25.60
Riyadh,Saudi Arabia,1945,Riyadh,Saudi Arabia,25.30
Riyadh,Saudi Arabia,1946,Riyadh,Saudi Arabia,25.49
Riyadh,Saudi Arabia,1947,Riyadh,Saudi Arabia,26.00
Riyadh,Saudi Arabia,1948,Riyadh,Saudi Arabia,24.85
Riyadh,Saudi Arabia,1949,Riyadh,Saudi Arabia,24.82
Riyadh,Saudi Arabia,1950,Riyadh,Saudi Arabia,24.98
Riyadh,Saudi Arabia,1951,Riyadh,Saudi Arabia,26.10
Riyadh,Saudi Arabia,1952,Riyadh,Saudi Arabia,25.72
Riyadh,Saudi Arabia,1953,Riyadh,Saudi Arabia,25.51
Riyadh,Saudi Arabia,1954,Riyadh,Saudi Arabia,25.80
Riyadh,Saudi Arabia,1955,Riyadh,Saudi Arabia,25.33
Riyadh,Saudi Arabia,1956,Riyadh,Saudi Arabia,25.02
