Row Labels,Sum of avg_temp,Sum of avg_temp-c
1895,8.15,25.99
1988,8.15,25.99
1896,8.21,25.05
1989,8.21,25.05
1897,8.29,25.7
1990,8.29,25.7
1898,8.18,25.43
1991,8.18,25.43
1899,8.4,24.37
1992,8.4,24.37
1900,8.5,25.42
1993,8.5,25.42
1901,8.54,26.08
1994,8.54,26.08
1902,8.3,25.64
1995,8.3,25.64
1903,8.22,26.28
1996,8.22,26.28
1904,8.09,25.49
1997,8.09,25.49
1905,8.23,26.73
1998,8.23,26.73
1906,8.38,26.92
1999,8.38,26.92
1907,7.95,26.55
2000,7.95,26.55
1908,8.19,26.67
2001,8.19,26.67
1909,8.18,26.44
2002,8.18,26.44
1910,8.22,26.62
2003,8.22,26.62
1911,8.18,26.2
2004,8.18,26.2
1912,8.17,26.27
2005,8.17,26.27
1913,8.3,26.24
2006,8.3,26.24
1914,8.59,26.49
2007,8.59,26.49
1915,8.59,26.21
2008,8.59,26.21
1916,8.23,26.71
2009,8.23,26.71
1917,8.02,27.37
2010,8.02,27.37
1918,8.13,26.4
2011,8.13,26.4
1919,8.38,26.83
2012,8.38,26.83
1920,8.36,27.78
2013,8.36,27.78
1921,8.57,
(blank),8.57,
1922,8.41,
(blank),8.41,
1923,8.42,
(blank),8.42,
1924,8.51,
(blank),8.51,
1925,8.53,
(blank),8.53,
1926,8.73,
(blank),8.73,
1927,8.52,
(blank),8.52,
1928,8.63,
(blank),8.63,
1929,8.24,
(blank),8.24,
1930,8.63,
(blank),8.63,
1931,8.72,
(blank),8.72,
1932,8.71,
(blank),8.71,
1933,8.34,
(blank),8.34,
1934,8.63,
(blank),8.63,
1935,8.52,
(blank),8.52,
1936,8.55,
(blank),8.55,
1937,8.7,
(blank),8.7,
1938,8.86,
(blank),8.86,
1939,8.76,
(blank),8.76,
1940,8.76,
(blank),8.76,
1941,8.77,
(blank),8.77,
1942,8.73,
(blank),8.73,
1943,8.76,
(blank),8.76,
1944,8.85,
(blank),8.85,
1945,8.58,
(blank),8.58,
1946,8.68,
(blank),8.68,
1947,8.8,
(blank),8.8,
1948,8.75,
(blank),8.75,
1949,8.59,
(blank),8.59,
1950,8.37,
(blank),8.37,
1951,8.63,
(blank),8.63,
1952,8.64,
(blank),8.64,
1953,8.87,
(blank),8.87,
1954,8.56,
(blank),8.56,
1955,8.63,
(blank),8.63,
1956,8.28,
(blank),8.28,
1957,8.73,
(blank),8.73,
1958,8.77,
(blank),8.77,
1959,8.73,
(blank),8.73,
1960,8.58,
(blank),8.58,
1961,8.8,
(blank),8.8,
1962,8.75,
(blank),8.75,
1963,8.86,
(blank),8.86,
1964,8.41,
(blank),8.41,
1965,8.53,
(blank),8.53,
1966,8.6,
(blank),8.6,
1967,8.7,
(blank),8.7,
1968,8.52,
(blank),8.52,
1969,8.6,
(blank),8.6,
1970,8.7,
(blank),8.7,
1971,8.6,
(blank),8.6,
1972,8.5,
(blank),8.5,
1973,8.95,
(blank),8.95,
1974,8.47,
(blank),8.47,
1975,8.74,
(blank),8.74,
1976,8.35,
(blank),8.35,
1977,8.85,
(blank),8.85,
1978,8.69,
(blank),8.69,
1979,8.73,
(blank),8.73,
1980,8.98,
(blank),8.98,
1981,9.17,
(blank),9.17,
1982,8.64,
(blank),8.64,
1983,9.03,
(blank),9.03,
1984,8.69,
(blank),8.69,
1985,8.66,
(blank),8.66,
1986,8.83,
(blank),8.83,
1987,8.99,
(blank),8.99,
1988,9.2,
(blank),9.2,
1989,8.92,
(blank),8.92,
1990,9.23,
(blank),9.23,
1991,9.18,
(blank),9.18,
1992,8.84,
(blank),8.84,
1993,8.87,
(blank),8.87,
1994,9.04,
(blank),9.04,
1995,9.35,
(blank),9.35,
1996,9.04,
(blank),9.04,
1997,9.2,
(blank),9.2,
1998,9.52,
(blank),9.52,
1999,9.29,
(blank),9.29,
2000,9.2,
(blank),9.2,
2001,9.41,
(blank),9.41,
2002,9.57,
(blank),9.57,
2003,9.53,
(blank),9.53,
2004,9.32,
(blank),9.32,
2005,9.7,
(blank),9.7,
2006,9.53,
(blank),9.53,
2007,9.73,
(blank),9.73,
2008,9.43,
(blank),9.43,
2009,9.51,
(blank),9.51,
2010,9.7,
(blank),9.7,
2011,9.52,
(blank),9.52,
2012,9.51,
